,Name,Team,Position,Batting,Bowling
1454,Mohammad Iqbal,Canada,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1455,TC Bastiampillai,Canada,Batsman,Right Handed Bat,Right-arm offbreak
1456,AL Kandappah,Canada,Batsman,Right Handed Bat,Right-arm offbreak
1457,A Shamshudeen,Canada,Bowler,Right Handed Bat,Left-arm orthodox
1458,J Patraj,Canada,Bowler,Right Handed Bat,Right-arm offbreak
1459,CK Hooper,Canada,--,Right Handed Bat,Right-arm offbreak
1460,D Soraine,Canada,WK-Batsman,Right Handed Bat,null
1461,AA Obanda,Kenya,Batsman,Right Handed Bat,null
1462,E Otieno,Kenya,Bowler,Right Handed Bat,Right-arm fast-medium
1463,TR Ambrose,England,--,Left Handed Bat,Right-arm fast
1464,DR Flynn,New Zealand,Batsman,Left Handed Bat,null
1465,GD Elliott,New Zealand,Batsman,Right Handed Bat,Right-arm fast-medium
1466,SR Patel,England,Batting Allrounder,Right Handed Bat,Left-arm orthodox
1467,Misbah-ul-Haq,Pakistan,Batsman,Right Handed Bat,Right-arm legbreak
1468,Sohail Tanvir,Pakistan,Bowler,Left Handed Bat,Left-arm fast-medium
1469,Fawad Alam,Pakistan,Batsman,Left Handed Bat,Left-arm orthodox
1470,BA Parchment,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
1471,PA Browne,West Indies,--,Left Handed Bat,Right-arm offbreak
1472,Junaid Siddique,Bangladesh,Batsman,Left Handed Bat,Right-arm offbreak
1473,JD Ryder,New Zealand,Batting Allrounder,Left Handed Bat,Right-arm medium
1474,PA Hitchcock,New Zealand,WK-Batsman,Left Handed Bat,null
1475,IE O'Brien,New Zealand,--,Right Handed Bat,Right-arm fast-medium
1476,GH Bodi,South Africa,Batsman,Left Handed Bat,Left-arm chinaman
1477,AE Smith,South Africa,Batsman,Left Handed Bat,Right-arm offbreak
1478,SA Fritz,South Africa,Bowler,Right Handed Bat,Left-arm fast-medium
1479,VCE Wattenberg,Netherlands,WK-Batsman,Right Handed Bat,null
1480,HW Rambaldo,Netherlands,WT20I Matches,WTEST Matches,WODI Matches
1481,PJ te Beest,Netherlands,WODI Matches,Bowling,Explore Statsguru Analysis
1482,AS Tanke,Netherlands,WT20I Matches,WTEST Matches,WODI Matches
1483,J Pashley,Netherlands,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1484,MEC de Fouw,Netherlands,WT20I Matches,WTEST Matches,WODI Matches
1485,DM Braat,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium
1486,M Kornet,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium
1487,JC Hartenhof,Netherlands,WK-Batsman,Right Handed Bat,null
1488,CM Beggs,Ireland,WK-Batsman,Right Handed Bat,Right-arm medium
1489,NJ Coffey,Ireland,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1490,EAJ Richardson,Ireland,--,Right Handed Bat,Right-arm medium
1491,HE Whelan,Ireland,Batsman,Right Handed Bat,Right-arm legbreak
1492,JC Carroll,Ireland,WK-Batsman,Right Handed Bat,null
1493,MT Herbert,Ireland,--,Left Handed Bat,Left-arm orthodox
1494,OV Anderson,South Africa,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1495,L Egging,Netherlands,WT20I Matches,WTEST Matches,WODI Matches
1496,J Edness,Bermuda,WK-Batsman,Right Handed Bat,null
1497,JJ Celestine,Bermuda,T20 Matches,FC Matches,List A Matches
1498,RJ Trott,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1499,AR Pitcher,Bermuda,Bowler,Right Handed Bat,Right-arm fast
1500,KC Hodsoll,Bermuda,--,Batsman,Right Handed Bat
1501,AS Luseno,Kenya,Bowler,Right Handed Bat,Right-arm medium
1502,RW Price,Zimbabwe,Bowler,Right Handed Bat,Left-arm orthodox
1503,ML Udawatte,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1504,BAW Mendis,Sri Lanka,Bowler,Right Handed Bat,Right-arm offbreak
1505,K Weeraratne,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
1506,T Thushara,Sri Lanka,Bowler,Left Handed Bat,Left-arm fast-medium
1507,ADS Fletcher,West Indies,WK-Batsman,Right Handed Bat,null
1508,L Ronchi,Australia,WK-Batsman,Right Handed Bat,null
1509,DJ Hussey,Australia,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1510,SE Findlay,West Indies,Bowler,Left Handed Bat,Right-arm medium
1511,Raqibul Hasan,Bangladesh,--,Right Handed Bat,null
1512,Dhiman Ghosh,Bangladesh,WK-Batsman,Right Handed Bat,null
1513,PL Harris,South Africa,Bowler,Right Handed Bat,Left-arm orthodox
1514,CR Foggo,Bermuda,Batsman,Right Handed Bat,null
1515,OO Bascome,Bermuda,--,WK-Batsman,Right Handed Bat
1516,GH O'Brien,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1517,TE Tucker,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm medium
1518,HS Baidwan,Canada,Batting Allrounder,Right Handed Bat,Right-arm medium
1519,Sami Faridi,Canada,Bowler,Right Handed Bat,Left-arm chinaman
1520,R Strydom,Ireland,Bowler,Left Handed Bat,Left-arm fast-medium
1521,AD Poynter,Ireland,Batsman,Right Handed Bat,Right-arm offbreak
1522,PC Connell,Ireland,Bowler,Left Handed Bat,Right-arm legbreak
1523,RM West,Ireland,Bowler,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox"
1524,RR Patel,Kenya,WK-Batsman,Right Handed Bat,Right-arm offbreak
1525,Nasir Jamshed,Pakistan,Batsman,Left Handed Bat,null
1526,Samiullah Khan,Pakistan,Bowler,Right Handed Bat,Left-arm fast-medium
1527,Khalid Latif,Pakistan,Batsman,Right Handed Bat,Right-arm offbreak
1528,Khurram Manzoor,Pakistan,Batsman,Right Handed Bat,Right-arm offbreak
1529,Abdur Rauf,Pakistan,--,Right Handed Bat,Right-arm fast-medium
1530,Rizwan Ahmed,Pakistan,WK-Batsman,Right Handed Bat,null
1531,Arshad Ali,United Arab Emirates,--,Bowler,Right Handed Bat
1532,IPP Batuwitarachchi,United Arab Emirates,--,Batsman,Right Handed Bat
1533,Amjad Ali,United Arab Emirates,WK-Batsman,Left Handed Bat,null
1534,Saqib Ali,United Arab Emirates,Batsman,Right Handed Bat,null
1535,Khurram Khan,United Arab Emirates,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1536,Mohammad Tauqir,United Arab Emirates,Bowler,Right Handed Bat,Right-arm offbreak
1537,EHSN Silva,United Arab Emirates,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1538,Zahid Shah,United Arab Emirates,--,Bowler,Right Handed Bat
1539,Tabarak Dar,Hong Kong,Batsman,Right Handed Bat,null
1540,Skhawat Ali,Hong Kong,Batsman,Right Handed Bat,Right-arm offbreak
1541,Irfan Ahmed,Hong Kong,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1542,KH Butt,Hong Kong,--,Right Handed Bat,null
1543,CK Kruger,Hong Kong,Bowling Allrounder,Right Handed Bat,Right-arm medium
1544,Zain Abbas,Hong Kong,--,Batting Allrounder,Right Handed Bat
1545,Munir Dar,Hong Kong,--,Batting Allrounder,Right Handed Bat
1546,Najeeb Amar,Hong Kong,--,Batting Allrounder,Right Handed Bat
1547,Afzaal Haider,Hong Kong,--,Bowler,Right Handed Bat
1548,JPR Lamsam,Hong Kong,Allrounder,Right hand Bat,Right arm Medium
1549,YK Pathan,India,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1550,MS Gony,India,Bowler,Right Handed Bat,Right-arm fast-medium
1551,N Fernandes,United Arab Emirates,--,Right Handed Bat,null
1552,Alawi Shukri,United Arab Emirates,--,Batsman,Right Handed Bat
1553,Aman Ali,United Arab Emirates,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1554,PP Ojha,India,Bowler,Left Handed Bat,Left-arm orthodox
1555,Mansoor Amjad,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1556,Saeed Ajmal,Pakistan,Bowler,Right Handed Bat,Right-arm offbreak
1557,B Geeves,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1558,LDVV Silva,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1559,SP de Alwis,Sri Lanka,--,Right Handed Bat,null
1560,CR Seneviratna,Sri Lanka,Bowler,Left Handed Bat,Left-arm orthodox
1561,SI Galagedara,Sri Lanka,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1562,HMD Rasangika,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm legbreak
1563,AD Janakanthymala,Sri Lanka,WODI Matches,Bowling,Explore Statsguru Analysis
1564,KV Jain,India,--,Batsman,Right Handed Bat
1565,J Sharma,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1566,A Rawat,India,WK-Batsman,Left Handed Bat,null
1567,R Dhar,India,Batsman,Right Handed Bat,Right-arm offbreak
1568,A Sharma,India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
1569,G Sultana,India,WK-Batsman,Right Handed Bat,null
1570,SL Pujare,India,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1571,N David,India,--,Right Handed Bat,Right-arm offbreak
1572,P Roy,India,--,Right Handed Bat,Right-arm medium
1573,S Badrinath,India,Batsman,Right Handed Bat,Right-arm offbreak
1574,SM Warnapura,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1575,CJ Ferguson,Australia,Batsman,Right Handed Bat,Right-arm medium
1576,NM Hauritz,Australia,Bowler,Right Handed Bat,Right-arm offbreak
1577,G Onions,England,Bowler,Right Handed Bat,Right-arm fast-medium
1578,Naeem Islam,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1579,J Louw,South Africa,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1580,B Laughlin,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1581,RE van der Merwe,South Africa,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
1582,SM Harwood,Australia,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1583,ND McKenzie,South Africa,Batsman,Right Handed Bat,Right-arm medium
1584,VB van Jaarsveld,South Africa,Batsman,Right Handed Bat,Right-arm legbreak
1585,RJ Harris,Australia,Bowler,Right Handed Bat,Right-arm fast
1586,LL Tsotsobe,South Africa,Bowler,Right Handed Bat,Left-arm fast-medium
1587,CD Cumming,New Zealand,Opening Batter,47y 27d,Right hand Bat
1588,BJ Diamanti,New Zealand,WK-Batsman,Right Handed Bat,null
1589,GJ Batty,England,Bowler,Right Handed Bat,Right-arm offbreak
1590,LS Baker,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
1591,CMG Atkins,England,Bowler,Right Handed Bat,Left-arm fast-medium
1592,CM Edwards,England,Bowler,Right Handed Bat,Right-arm fast-medium
1593,LS Greenway,England,Batsman,Left Handed Bat,Right-arm offbreak
1594,BL Morgan,England,Batsman,Left Handed Bat,Right-arm medium
1595,NJ Shaw,England,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1596,HL Colvin,England,Bowler,Right Handed Bat,Left-arm orthodox
1597,IT Guha,England,--,Right Handed Bat,Right-arm fast-medium
1598,AA Deshpande,India,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1599,A Chopra,India,Batsman,Right Handed Bat,null
1600,SK Naidu,India,--,--,Right Handed Bat
1601,SR Waters,Kenya,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1602,IG Butler,New Zealand,Bowler,Right Handed Bat,Right-arm fast
1603,PD McGlashan,New Zealand,WK-Batsman,Right Handed Bat,null
1604,EP Thompson,New Zealand,Bowling Allrounder,Left Handed Bat,Right-arm medium
1605,BP Nash,West Indies,--,Left Handed Bat,Left-arm medium
1606,SHT Kandamby,Sri Lanka,Top order Batter,Left hand Bat,Legbreak
1607,DE Bernard,West Indies,--,Right Handed Bat,Right-arm legbreak
1608,AM Nayar,India,Batting Allrounder,Left Handed Bat,Right-arm medium
1609,Mahbubul Alam,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
1610,IJL Trott,England,Batsman,Right Handed Bat,Right-arm medium
1611,LJ Poulton,Australia,Batsman,Right Handed Bat,Right-arm legbreak
1612,LK Ebsary,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
1613,SJ Andrews,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
1614,EJCLRC Rainford-Brent,England,Batsman,Right Handed Bat,Right-arm fast-medium
1615,RL Bhudia,Kenya,Batting Allrounder,Right Handed Bat,Right-arm medium
1616,F Mutizwa,Zimbabwe,Bowler,Right Handed Bat,Right-arm offbreak
1617,L Balaji,India,Bowler,Right Handed Bat,Right-arm fast-medium
1618,R McLaren,South Africa,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
1619,MM Iqbal,Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
1620,JH Stander,Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
1621,Rizwan Cheema,Canada,Batsman,Right Handed Bat,Right-arm medium
1622,Khurram Chohan,Canada,Bowler,Right Handed Bat,Right-arm fast
1623,E Katchay,Canada,Bowler,Right Handed Bat,Right-arm fast-medium
1624,Karim Sadiq,Afghanistan,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1625,Raees Ahmadzai,Afghanistan,Batsman,Right Handed Bat,Right-arm offbreak
1626,Hasti Gul,Afghanistan,Bowler,Right Handed Bat,Right-arm medium
1627,Khaliq Dad,Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
1628,Dawlat Ahmadzai,Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
1629,DE Bollinger,Australia,Bowler,Left Handed Bat,Left-arm fast-medium
1630,MJ North,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
1631,DM Richards,West Indies,--,Right Handed Bat,Right-arm medium
1632,FL Reifer,West Indies,--,Left Handed Bat,Right-arm medium
1633,TM Dowlin,West Indies,--,Right Handed Bat,Right-arm offbreak
1634,NT Pascal,West Indies,Bowler,Right Handed Bat,Right-arm fast
1635,DC Thomas,West Indies,WK-Batsman,Right Handed Bat,Right-arm medium
1636,GC Tonge,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
1637,NL McCullum,New Zealand,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1638,CJ McKay,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1639,Enamul Haque jnr,Bangladesh,Bowler,Right Handed Bat,Left-arm orthodox
1640,MA Vermeulen,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1641,H Patel,Canada,Bowler,Right Handed Bat,Right-arm fast-medium
1642,ZE Surkari,Canada,Middle order Batter,Right hand Bat,Right arm Medium
1643,S Keshvani,Canada,--,--,Right Handed Bat
1644,RT Crandon,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
1645,SM Davies,England,WK-Batsman,Left Handed Bat,null
1646,AJ Redmond,New Zealand,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1647,GA Manou,Australia,WK-Batsman,Right Handed Bat,null
1648,K Thomson,South Africa,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1649,PY Lavine,West Indies,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1650,CP Jack,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
1651,SL Stewart,New Zealand,--,Right Handed Bat,null
1652,C Kieswetter,England,--,WK-Batsman,Right Handed Bat
1653,Faisal Hossain,Bangladesh,--,Left Handed Bat,Left-arm orthodox
1654,JC Tredwell,England,Bowler,Left Handed Bat,Right-arm offbreak
1655,A Shahzad,England,Batsman,Right Handed Bat,Right-arm legbreak
1656,Mohammad Irfan,Pakistan,Bowler,Right Handed Bat,Left-arm fast-medium
1657,UWMBCA Welegedara,Sri Lanka,Bowling Allrounder,Right Handed Bat,Left-arm fast-medium
1658,SO Ngoche,Kenya,Bowler,Right Handed Bat,Left-arm orthodox
1659,R Gunasekera,Canada,Batsman,Left Handed Bat,Right-arm legbreak
1660,AS Hansra,Canada,Batsman,Right Handed Bat,Right-arm offbreak
1661,TG Gordon,Canada,Bowler,Right Handed Bat,Right-arm fast-medium
1662,JJ Krejza,Australia,Bowler,Right Handed Bat,Right-arm offbreak
1663,BP Loots,Netherlands,--,Right Handed Bat,Right-arm medium
1664,HMRKB Herath,Sri Lanka,Bowler,Left Handed Bat,Left-arm orthodox
1665,NR Kumar,Canada,Batsman,Left Handed Bat,Right-arm offbreak
1666,JO Ngoche,Kenya,Bowler,Right Handed Bat,Left-arm orthodox
1667,BP Kruger,Netherlands,Bowling Allrounder,Right Handed Bat,Right-arm medium
1668,CA Ingram,South Africa,Batsman,Left Handed Bat,Right-arm legbreak
1669,K Whatham,Canada,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1670,M Vijay,India,Batsman,Right Handed Bat,Right-arm offbreak
1671,A Mithun,India,--,WK-Batsman,Right Handed Bat
1672,XJ Doherty,Australia,Bowler,Left Handed Bat,Left-arm orthodox
1673,RD McCann,Ireland,--,WK-Batsman,Right Handed Bat
1674,NG Jones,Ireland,--,Right Handed Bat,Left-arm fast
1675,DR Lockhart,Scotland,List A Matches,ODI Matches,FC Matches
1676,MA Parker,Scotland,--,Right Handed Bat,null
1677,AB Dinda,India,Bowler,Right Handed Bat,Right-arm fast-medium
1678,R Vinay Kumar,India,Bowler,Right Handed Bat,Right-arm fast-medium
1679,NV Ojha,India,WK-Batsman,Right Handed Bat,null
1680,Shahzaib Hasan,Pakistan,Batsman,Right Handed Bat,Right-arm offbreak
1681,Zulqarnain Haider,Pakistan,Batsman,Right Handed Bat,null
1682,J Theron,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
1683,GW Flower,Zimbabwe,--,Right Handed Bat,Left-arm orthodox
1684,IA Nicolson,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1685,PA Patel,India,WK-Batsman,Left Handed Bat,null
1686,SS Tiwary,India,Batsman,Left Handed Bat,null
1687,A van der Merwe,Ireland,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
1688,MMA Jonkman,Netherlands,Bowler,Right Handed Bat,Right-arm fast
1689,WP Saha,India,WK-Batsman,Right Handed Bat,null
1690,JW Dernbach,England,Bowler,Right Handed Bat,Right-arm fast-medium
1691,SG Borthwick,England,Bowler,Left Handed Bat,Right-arm legbreak
1692,Hammad Azam,Pakistan,Batting Allrounder,Right Handed Bat,Right-arm medium
1693,Usman Salahuddin,Pakistan,--,Batsman,Right Handed Bat
1694,Taufeeq Umar,Pakistan,WK-Batsman,Left Handed Bat,Right-arm offbreak
1695,JL Pattinson,Australia,Bowler,Left Handed Bat,Right-arm fast
1696,MR Swart,Netherlands,Batsman,Right Handed Bat,Right-arm offbreak
1697,VAB Tewarie,Netherlands,WK-Batsman,Right Handed Bat,Left-arm orthodox
1698,N Kruger,Netherlands,--,WK-Batsman,Right Handed Bat
1699,Ahsan Malik,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium
1700,GI Maiden,Scotland,Bowler,Right Handed Bat,Right-arm fast
1701,R Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak
1702,PJ Forrest,Australia,Batsman,Right Handed Bat,Right-arm medium
1703,RJ Nicol,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1704,AM Ellis,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1705,TS Nethula,New Zealand,Bowler,Right Handed Bat,Right-arm legbreak
1706,M de Lange,South Africa,Bowler,Right Handed Bat,Right-arm fast
1707,SC Meaker,England,Bowler,Right Handed Bat,Right-arm fast-medium
1708,VR Aaron,India,Bowler,Right Handed Bat,Right-arm fast
1709,Shuvagata Hom,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1710,Adnan Akmal,Pakistan,WK-Batsman,Right Handed Bat,null
1711,Aizaz Cheema,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
1712,Usman Limbada,Canada,Batsman,Right Handed Bat,Right-arm fast-medium
1713,Junaid Siddiqui,Canada,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1714,A Brindle,England,Batting Allrounder,Right Handed Bat,Right-arm medium
1715,AL Hodgkinson,South Africa,WT20I Matches,WTEST Matches,WODI Matches
1716,DR Briggs,England,Bowler,Right Handed Bat,Left-arm orthodox
1717,Elias Sunny,Bangladesh,Bowler,Left Handed Bat,Left-arm orthodox
1718,S Naik,India,Bowler,Right Handed Bat,Left-arm fast-medium
1719,A Das,India,Batsman,Right Handed Bat,null
1720,N Niranjana,India,Batsman,Right Handed Bat,Right-arm offbreak
1721,R Malhotra,India,WK-Batsman,Right Handed Bat,Right-arm legbreak
1722,S Sharma,India,Bowler,Right Handed Bat,Right-arm fast-medium
1723,DI Allan,Kenya,--,Right Handed Bat,Right-arm fast-medium
1724,Zakiullah Zaki,Afghanistan,Bowler,Right Handed Bat,Left-arm orthodox
1725,Izatullah Dawlatzai,Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
1726,Rahat Ali,Pakistan,Bowler,Right Handed Bat,Left-arm fast-medium
1727,MA Carberry,England,Batsman,Left Handed Bat,Right-arm offbreak
1728,GS Ballance,England,Batsman,Left Handed Bat,Right-arm legbreak
1729,WB Rankin,England,Bowler,Left Handed Bat,Right-arm fast-medium
1730,Fawad Ahmed,Australia,Bowler,Right Handed Bat,Right-arm legbreak
1731,PJ Hughes,Australia,Batsman,Left Handed Bat,null
1732,RK Kleinveldt,South Africa,Batsman,Left Handed Bat,Right-arm offbreak
1733,AM Phangiso,South Africa,Bowler,Right Handed Bat,Left-arm orthodox
1734,KJ Abbott,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
1735,HD Rutherford,New Zealand,Batsman,Left Handed Bat,Left-arm orthodox
1736,BCJ Cutting,Australia,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1737,JE Cameron,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1738,SJ Coyte,Australia,Bowling Allrounder,Right Handed Bat,Right-arm medium
1739,SA Millanta,Australia,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1740,LR Doolan,New Zealand,WK-Batsman,Right Handed Bat,Right-arm offbreak
1741,RH Candy,New Zealand,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1742,SEA Ruck,New Zealand,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1743,Sohag Gazi,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1744,Raza-ur-Rehman,Canada,Batting Allrounder,Right Handed Bat,Left-arm fast-medium
1745,IA Karim,Kenya,--,Right Handed Bat,Left-arm orthodox
1746,NM Odhiambo,Kenya,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1747,JL Hunter,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
1748,RK Parwin,India,Bowler,Right Handed Bat,Right-arm fast-medium
1749,SL Quintyne,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1750,S Ravikumar,Sri Lanka,Batsman,Left Handed Bat,Right-arm offbreak
1751,NM Carter,Scotland,Batsman,Right Handed Bat,null
1752,MW Machan,Scotland,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1753,D Murphy,Scotland,WK-Batsman,Right Handed Bat,null
1754,RML Taylor,Scotland,Bowler,Right Handed Bat,Right-arm fast
1755,JNK Shannon,Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
1756,JB Nero,West Indies,--,Right Handed Bat,Right-arm medium
1757,SL Munroe,West Indies,Bowler,Right Handed Bat,Right-arm medium
1758,JW Ogle-Thomas,West Indies,--,Right Handed Bat,Right-arm fast
1759,HAM Samuddika,Sri Lanka,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1760,Sumaiya Siddiqi,Pakistan,Bowler,Right Handed Bat,Right-arm medium
1761,JD Unadkat,India,Bowler,Right Handed Bat,Left-arm fast-medium
1762,MT Chinouya,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
1763,CA Pujara,India,Batsman,Right Handed Bat,Right-arm legbreak
1764,MM Sharma,India,Bowler,Right Handed Bat,Right-arm fast-medium
1765,MEMO Scott-Hayward,Ireland,--,Right Handed Bat,Right-arm fast
1766,RA Rolfe,Ireland,Bowler,Left Handed Bat,Right-arm fast-medium
1767,EJ Tice,Ireland,Bowler,Right Handed Bat,Right-arm legbreak
1768,Javeria Rauf,Pakistan,Batsman,Right Handed Bat,Right-arm fast-medium
1769,Rashid Latif,Pakistan,--,Right Handed Bat,Right-arm legbreak
1770,Mushtaq Ahmed,Pakistan,--,Right Handed Bat,Right-arm legbreak
1771,Saqlain Mushtaq,Pakistan,--,Right Handed Bat,Right-arm offbreak
1772,Naved Latif,Pakistan,--,Right Handed Bat,Right-arm medium
1773,Hannan Sarkar,Bangladesh,Batsman,Right Handed Bat,Right-arm medium
1774,Mushfiqur Rahman,Bangladesh,WK-Batsman,Right Handed Bat,null
1775,Jamaluddin Ahmed,Bangladesh,--,Right Handed Bat,Right-arm offbreak
1776,RL Johnson,England,--,Right Handed Bat,Right-arm medium
1777,Moniruzzaman,Bangladesh,--,Right Handed Bat,null
1778,RJ Kirtley,England,--,Right Handed Bat,Right-arm fast-medium
1779,RS Kaluwitharana,Sri Lanka,WK-Batsman,Right Handed Bat,null
1780,KADM Fernando,Sri Lanka,Batsman,Right Handed Bat,Right-arm legbreak
1781,VC Drakes,West Indies,--,Right Handed Bat,Right-arm fast
1782,TR Gripper,Zimbabwe,--,Right Handed Bat,Right-arm offbreak
1783,CB Wishart,Zimbabwe,--,Right Handed Bat,Right-arm offbreak
1784,SM Ervine,Zimbabwe,Batting Allrounder,Left Handed Bat,Right-arm medium
1785,RD Jacobs,West Indies,WK-Batsman,Left Handed Bat,null
1786,M Dillon,West Indies,--,Right Handed Bat,Right-arm fast-medium
1787,RA Jones,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1788,MDJ Walker,New Zealand,Bowler,Right Handed Bat,Right-arm offbreak
1789,Moin Khan,Pakistan,--,Right Handed Bat,Right-arm offbreak
1790,BG Rogers,Zimbabwe,Bowler,Right Handed Bat,Right-arm offbreak
1791,A Maregwede,Zimbabwe,WK-Batsman,Right Handed Bat,null
1792,Saleem Elahi,Pakistan,--,Right Handed Bat,Right-arm offbreak
1793,TK Canning,New Zealand,T20 Matches,FC Matches,List A Matches
1794,CZ Harris,New Zealand,--,Left Handed Bat,Right-arm medium
1795,L Klusener,South Africa,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
1796,RO Hurley,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
1797,H Davids,South Africa,Batsman,Right Handed Bat,Right-arm offbreak
1798,BA Williams,Australia,--,Right Handed Bat,Right-arm fast
1799,HDPK Dharmasena,Sri Lanka,--,Right Handed Bat,Right-arm offbreak
1800,IJ Harvey,Australia,--,Right Handed Bat,Right-arm medium
1801,MHW Papps,New Zealand,Batsman,Right Handed Bat,null
1802,WS Jayantha,Sri Lanka,Bowler,Right Handed Bat,Right-arm offbreak
1803,Tareq Aziz,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
1804,DD Ebrahim,Zimbabwe,Batsman,Right Handed Bat,Right-arm medium
1805,DT Hondo,Zimbabwe,--,Right Handed Bat,Right-arm fast-medium
1806,Shahriar Hossain,Bangladesh,--,Right Handed Bat,null
1807,DS Lehmann,Australia,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1808,W Mwayenga,Zimbabwe,Bowler,Right Handed Bat,Right-arm medium
1809,AG Wharf,England,--,Right Handed Bat,Right-arm fast-medium
1810,S Sriram,India,--,Left Handed Bat,Left-arm orthodox
1811,Joginder Sharma,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
